name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York City,2017-03-21,15,6.4,10.1,15,4.8,9.5,-3.5,38.5,0,0,0,,2.7,4.4,33.5,17.4,299.8,1012.4,68.1,16,226,19.4,8,,2017-03-21T06:57:15,2017-03-21T19:09:31,0.79,Partially cloudy,Partly cloudy throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-22,10.8,-3.4,2.8,10.8,-9.9,-2.1,-13.2,30.6,0,0,0,,1.9,2.7,59.9,36.9,302.1,1019.5,14.1,16,264.3,22.9,9,,2017-03-22T06:55:35,2017-03-22T19:10:35,0.84,Clear,Clear conditions throughout the day.,snow,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-23,6.1,-4.6,0.3,4.9,-9.9,-3.2,-16.6,29.4,0,0,0,,0,0.3,46.4,26.4,287.3,1033.8,3.8,16,265,22.9,9,,2017-03-23T06:53:56,2017-03-23T19:11:38,0.89,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-24,13.7,2.5,7.4,13.7,-1,5.7,-4,44.4,0,0,0,,0,0,47,26.4,212.3,1027.2,54.4,16,222.8,19.1,7,,2017-03-24T06:52:16,2017-03-24T19:12:42,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-25,15.3,6.8,11.5,15.3,4,11,3.2,57.9,0.22,100,12.5,rain,0,0,33.5,18.7,136.5,1022.1,50.7,15.7,74.8,6.5,3,,2017-03-25T06:50:37,2017-03-25T19:13:45,0.96,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-26,6.4,3.3,4.6,3.5,-1.4,1.2,1.2,78.8,2.96,100,12.5,rain,0,0,37.1,23.4,67.3,1029.8,89.2,14,57.4,4.8,2,,2017-03-26T06:48:58,2017-03-26T19:14:48,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-27,10.8,3.5,6.7,10.8,-0.2,5.1,5.1,90,6.21,100,33.33,rain,0,0,,17.4,79.3,1019.1,85.2,7.5,109.9,9.4,4,,2017-03-27T06:47:18,2017-03-27T19:15:52,1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-28,8.1,5.1,6.4,6.8,1.5,4,5.3,93.2,18.33,100,66.67,rain,0,0,,18.9,54.2,1013.8,92.4,6.9,91.2,8,5,,2017-03-28T06:45:39,2017-03-28T19:16:55,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-29,14.5,6.7,9.8,14.5,3.1,8.4,1.1,59.5,0,0,0,,0,0,51.8,30.4,257,1017.6,50.1,15.4,269.1,23.4,9,,2017-03-29T06:44:00,2017-03-29T19:17:58,0.01,Partially cloudy,Clearing in the afternoon.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-30,10.7,3.5,6.8,10.7,1.1,4.6,-4.4,45.4,0.18,100,4.17,rain,0,0,38.9,19.3,126.5,1022.6,42.7,16,257.5,22.3,9,,2017-03-30T06:42:21,2017-03-30T19:19:01,0.04,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-03-31,7.3,3.7,4.6,7.3,-2.1,1.4,2.7,88.1,41.24,100,95.83,rain,0,0,51,34.6,95.5,1015,91.3,7.1,33.8,2.8,1,,2017-03-31T06:40:43,2017-03-31T19:20:04,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-01,8.2,3,5.6,7,-3.1,1.8,1.5,76.3,0.94,100,20.83,rain,0,0,61.3,41.3,147.7,1009.5,92.5,13.3,177.3,15.2,7,,2017-04-01T06:39:04,2017-04-01T19:21:07,0.12,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-02,16.9,5.3,11,16.9,2,9.8,-1.4,45.7,0,0,0,,0,0,51.8,20.6,314.8,1018.4,33.1,16,275.3,23.8,9,,2017-04-02T06:37:26,2017-04-02T19:22:09,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-03,16.8,9.4,12.6,16.8,9.1,12.6,0.1,42.9,0,0,0,,0,0,37.2,19.2,160.7,1017.4,37.5,16,165.6,14.3,7,,2017-04-03T06:35:49,2017-04-03T19:23:12,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-04,11,8.2,9.4,11,5.3,7.8,7.8,89.8,30.41,100,58.33,rain,0,0,47.9,21,76.8,1004.3,94.2,9.4,134.3,11.4,5,,2017-04-04T06:34:11,2017-04-04T19:24:15,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-05,16.9,7.6,10.7,16.9,6,10.2,6.3,76.5,0,0,0,,0,0,29.5,17.8,85.5,1011.9,65,10.7,272,23.4,9,,2017-04-05T06:32:34,2017-04-05T19:25:18,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-06,10.9,5.5,7.4,10.9,1,4.7,5.3,87.4,17.97,100,54.17,rain,0,0,51.1,34.2,105.6,1002.2,81.5,10.7,59.1,5.1,2,,2017-04-06T06:30:57,2017-04-06T19:26:21,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-07,10.8,5.4,8.3,10.8,0.7,5.4,1,60.8,0,0,0,,0,0,53.9,29.7,259.3,995.4,65.6,16,169,14.6,5,,2017-04-07T06:29:21,2017-04-07T19:27:23,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
New York City,2017-04-08,13.6,4.8,8.7,13.6,0.7,6.7,-5.4,38.3,0,0,0,,0,0,52.7,32.7,301.8,1009.1,41,16,290.4,25.2,9,,2017-04-08T06:27:45,2017-04-08T19:28:26,0.46,Partially cloudy,Partly cloudy throughout the day.,wind,"72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"
