name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"New York City,2018-05-04T18:00:00,28.3,28.4,15.3,45.25,0,0,,0,0,50.8,8.5,276,1008.3,39.3,16,157,0.6,2,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T19:00:00,27.4,27.6,15.2,47.44,0,0,,0,0,47.1,8.4,276,1007.9,50.8,16,75,0.3,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T20:00:00,27.6,27.8,15.4,47.26,0,0,,0,0,44.6,12.1,191,1007.6,34.2,14.2,19,0.1,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-04T21:00:00,27.2,27.5,15.2,47.95,0,0,,0,0,48.1,20.8,198,1007.5,88.9,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T22:00:00,27.4,27.8,16,49.95,0,0,,0,0,45.1,15.2,224,1008.7,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-04T23:00:00,27.3,27.7,16,50.19,0,0,,0,0,42.5,26.4,238,1009,50.8,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T00:00:00,25.3,25.3,10.5,39.5,0,0,,0,0,41.2,22.7,288,1010.1,19.5,16,0,,0,,Clear,clear-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T01:00:00,24.5,24.5,8.9,37.19,0,0,,0,0,41.4,19.6,290,1011,88.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T02:00:00,22.7,22.7,6.5,35.05,0,0,,0,0,42.7,21.4,298,1011.8,95.7,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T03:00:00,21.5,21.5,5,34.22,0,0,,0,0,37,20.4,312,1012.7,95.7,16,0,,0,,Overcast,cloudy,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T04:00:00,19.8,19.8,3.9,35.04,0,0,,0,0,44.9,19.7,312,1014,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T05:00:00,18.4,18.4,3,35.7,0,0,,0,0,35.4,21.5,314,1015,34.2,16,0,,0,,Partially cloudy,partly-cloudy-night,""72505394728,KEWR,KLGA,72502014734,KNYC,72503014732"""
"New York City,2018-05-05T06:00:00,17.3,17.3,3.5,39.77,0,0,,0,0,33.9,17.4,312,1015.8,34.2,16,11,0,0,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T07:00:00,16.3,16.3,4,43.97,0,0,,0,0,38.6,24.1,318,1017.2,35.2,16,61,0.2,1,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T08:00:00,16.2,16.2,4.1,44.44,0,0,,0,0,37.1,13,316,1017.8,35.2,16,204,0.7,2,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T09:00:00,16.3,16.3,4.6,45.91,0,0,,0,0,,14.8,316,1018.4,34.2,16,322,1.2,3,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T10:00:00,17.5,17.5,5.1,44.04,0,0,,0,0,,20.2,304,1018.9,34.2,16,562,2,6,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T11:00:00,18.9,18.9,4.2,37.74,0,0,,0,0,27.7,19.9,314,1019.1,34.2,16,796,2.9,8,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T12:00:00,20.6,20.6,3.8,33.06,0,0,,0,0,,8.8,302,1019.3,34.2,16,662,2.4,7,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T13:00:00,22.6,22.6,3.6,28.93,0,0,,0,0,,8.1,270,1018.7,34.2,16,824,3,8,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T14:00:00,23.4,23.4,2,24.52,0,0,,0,0,,3.2,341,1018.3,34.2,16,722,2.6,7,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T15:00:00,23.7,23.7,0.4,21.52,0,0,,0,0,,1.8,350,1017.9,25.4,16,432,1.6,4,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
"New York City,2018-05-05T16:00:00,23.8,23.8,1.9,23.72,0,0,,0,0,,6.4,132,1017.8,38.4,16,410,1.5,4,,Partially cloudy,partly-cloudy-day,""72505394728,KEWR,KLGA,72502014734,F1417,KNYC,72503014732"""
